GROUP_SET,GROUP_ID,lineup,TEAM_ID,team,GP,W,L,W_PCT,minutes,E_OFF_RATING,off_rtg,E_DEF_RATING,def_rtg,E_NET_RATING,net_rtg,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-202681-1627884-1629023-1629029-1629655-,K. Irving - D. Jones Jr. - P. Washington - L. Doncic - D. Gafford,1610612742,DAL,17,15,2,0.882,176.0,116.1,115.2,101.3,99.7,14.7,15.5,0.609,2.21,19.9,0.245,0.804,0.521,0.126,0.579,0.593,103.0,104.15,86.79,381,0.559,117,41,12377,4833,43,6005,5906,5477,6998,2323,5821,7191,5501,5891,9338,5803,6630,8430,6058,526800
Lineups,-1627832-1630224-1630256-1630578-1631095-,F. VanVleet - J. Green - J. Tate - A. Sengun - J. Smith Jr.,1610612745,HOU,21,10,11,0.476,175.0,109.6,110.6,115.4,113.2,-5.9,-2.5,0.616,2.37,18.8,0.199,0.741,0.465,0.106,0.537,0.57,98.7,99.19,82.66,357,0.472,66,128,15844,7876,44,6589,8912,8458,6933,2162,6152,8046,7158,8892,8252,6732,7217,10922,7895,524075
Lineups,-203991-1627749-1629027-1629631-1630552-,C. Capela - D. Murray - T. Young - D. Hunter - J. Johnson,1610612737,ATL,14,7,7,0.5,172.0,115.1,113.0,117.2,119.0,-2.1,-6.1,0.569,1.81,17.0,0.287,0.661,0.467,0.13,0.53,0.571,103.8,103.97,86.64,370,0.476,183,280,15669,6304,46,6283,9666,8740,7739,3652,7010,5938,9146,8833,9394,6851,7189,8509,7809,514515
Lineups,-1628392-1628404-1628973-1628978-1630540-,I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - M. McBride,1610612752,NYK,14,7,7,0.5,172.0,136.3,138.2,106.9,107.1,29.4,31.1,0.665,3.9,23.6,0.288,0.694,0.5,0.089,0.663,0.679,95.2,94.51,78.76,338,0.625,183,280,15669,6304,45,3286,8141,4199,6509,874,3508,5936,7813,6096,7542,4163,4389,12765,4960,515765
Lineups,-1626167-1627741-1628971-1630167-1630169-,M. Turner - B. Hield - B. Brown - O. Toppin - T. Haliburton,1610612754,IND,17,9,8,0.529,171.0,130.6,134.0,115.2,114.1,15.4,19.9,0.711,3.21,24.3,0.275,0.793,0.545,0.111,0.643,0.67,106.9,106.04,88.36,377,0.579,117,164,15743,6294,47,3550,8990,5096,5204,1072,3366,6209,5946,5392,8646,4356,4533,7497,5692,511980
Lineups,-1627751-1629018-1629628-1630193-1630567-,J. Poeltl - G. Trent Jr. - R. Barrett - I. Quickley - S. Barnes,1610612761,TOR,10,4,6,0.4,164.0,118.9,119.4,107.8,109.2,11.1,10.3,0.669,2.87,21.0,0.317,0.728,0.518,0.107,0.555,0.582,104.0,103.17,85.98,355,0.552,388,709,15552,7959,48,5510,8407,5912,5464,1735,4660,5646,7266,5936,8255,6381,6897,8920,6207,491285
Lineups,-1627747-1627777-1628386-1629636-1630171-,C. LeVert - G. Niang - J. Allen - D. Garland - I. Okoro,1610612739,CLE,23,9,14,0.391,160.0,118.3,116.9,120.5,123.9,-2.2,-7.0,0.712,2.61,21.8,0.261,0.643,0.453,0.119,0.589,0.617,95.9,95.13,79.28,320,0.505,55,164,15879,8084,49,5727,10285,8813,5200,1870,4277,6379,9229,9199,8813,5548,5930,12545,7083,479830
Lineups,-1626145-1628398-1629655-1629673-1641731-,T. Jones - K. Kuzma - D. Gafford - J. Poole - B. Coulibaly,1610612764,WAS,29,5,24,0.172,160.0,106.2,104.3,117.2,119.1,-11.0,-14.8,0.662,2.47,19.7,0.193,0.566,0.373,0.109,0.528,0.552,104.8,104.91,87.43,349,0.433,31,511,15897,8980,50,7232,9676,9459,6513,2097,5839,8060,10130,11157,8304,6883,7688,8071,8630,479720
Lineups,-203991-203992-1627749-1629631-1630249-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - V. Krejci,1610612737,ATL,11,5,6,0.455,158.0,117.9,117.7,109.0,107.2,8.9,10.5,0.585,2.37,18.2,0.341,0.779,0.549,0.11,0.546,0.568,95.7,96.62,80.52,317,0.525,316,511,15552,7888,51,5666,8181,5907,7484,2161,6661,4463,6068,5257,8322,6527,7328,11985,6729,473945
Lineups,-201939-202691-203110-203952-1630228-,S. Curry - K. Thompson - D. Green - A. Wiggins - J. Kuminga,1610612744,GSW,24,13,11,0.542,157.0,115.0,116.1,98.0,98.0,17.0,18.1,0.632,2.23,20.0,0.258,0.704,0.496,0.126,0.578,0.6,105.5,105.06,87.55,341,0.571,45,66,15844,6276,52,5921,5880,5200,6738,2310,4883,6412,7687,8378,9340,5804,6455,7988,5869,472165
Lineups,-201942-202696-1627936-1629632-1630172-,D. DeRozan - N. Vucevic - A. Caruso - C. White - P. Williams,1610612741,CHI,14,8,6,0.571,153.0,116.2,113.3,111.0,112.3,5.3,1.0,0.605,2.23,18.2,0.24,0.777,0.503,0.111,0.549,0.589,98.9,99.59,82.99,316,0.488,183,219,15552,6181,54,6270,8751,6618,7024,2312,6368,7214,6176,6092,8325,6499,6724,10721,7615,458355
Lineups,-203937-1626157-1629638-1629675-1630162-,K. Anderson - K. Towns - N. Alexander-Walker - N. Reid - A. Edwards,1610612750,MIN,43,30,13,0.698,153.0,113.5,110.8,117.1,114.5,-3.6,-3.7,0.656,1.87,18.5,0.276,0.732,0.502,0.135,0.557,0.601,101.1,103.51,86.26,334,0.496,7,6,15875,5367,53,6585,9146,8557,6526,3602,6314,6201,7258,6095,9578,6283,6364,8754,7515,458390
